       VisitID  ...                 TopicName
6         1186  ...                   Tourism
7         1186  ...                   Tourism
21        1189  ...                In general
22        1189  ...                   exotica
23        1189  ...    challenging expedition
...        ...  ...                       ...
38446    17265  ...                   exotica
38447    17265  ...                   exotica
38448    17265  ...                   exotica
38449    17265  ...                   exotica
38450    17266  ...  Tours with accommodation

[6802 rows x 3 columns]
